"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Län","Pris..Y.","Märkell"
"1120","2022","halvkombi","4","372","grå","jönköping","499900","ford_mustang"
"1390","2022","halvkombi","2","301","svart","jönköping","499900","ford_mustang"
"780","2022","halvkombi","2","301","svart","jönköping","499900","ford_mustang"
"1660","2022","halvkombi","2","301","grå","jönköping","499900","ford_mustang"
"614","2022","sedan","2","301","grå","jönköping","499900","ford_mustang"
"5600","2021","suv","4","372","grå","östergötland","499900","ford_mustang"
"5421","2022","suv","4","351","svart","stockholm","489900","ford_mustang"
"9335","2021","suv","2","294","blå","stockholm","399900","ford_mustang"
"1150","2022","halvkombi","2","301","svart","jönköping","524000","ford_mustang"
"5265","2021","suv","4","372","röd","stockholm","479900","ford_mustang"
"2180","2022","halvkombi","2","301","röd","jönköping","699900","ford_mustang"
"1000","2022","suv","2","301","svart","jönköping","509000","ford_mustang"
"4459","2021","suv","4","372","vit","södermanland","519800","ford_mustang"
"3000","2021","suv","4","270","grå","västmanland","419000","ford_mustang"
"2547","2022","sedan","2","301","röd","jönköping","499900","ford_mustang"
"1170","2022","suv","2","301","vit","örebro","499900","ford_mustang"
"1500","2022","suv","2","297","svart","västra götaland","539900","ford_mustang"
"1600","2022","suv","2","298","svart","västra götaland","539900","ford_mustang"
"1366","2022","suv","2","298","grå","västra götaland","539900","ford_mustang"
"1100","2023","suv","4","374","svart","örebro","649800","ford_mustang"
"3117","2023","suv","2","301","blå","kronoberg","578700","ford_mustang"
"1809","2022","sedan","2","301","grå","jönköping","499900","ford_mustang"
"1000","2022","suv","2","301","svart","jönköping","599900","ford_mustang"
"956","2022","halvkombi","2","301","grå","kronoberg","499900","ford_mustang"
"1220","2022","halvkombi","2","301","vit","jönköping","499900","ford_mustang"
"3300","2022","suv","2","301","blå","jönköping","529700","ford_mustang"
"1236","2022","sedan","2","301","svart","östergötland","499900","ford_mustang"
"600","2022","suv","4","372","röd","kalmar","805700","ford_mustang"
"2200","2022","suv","2","301","grå","södermanland","770700","ford_mustang"
"2400","2022","suv","2","301","blå","östergötland","551900","ford_mustang"
"1244","2022","suv","2","301","röd","jönköping","499900","ford_mustang"
