"X","Miltal","Modellår","Hästkrafter","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Färg_blå","Färg_brun","Färg_grå","Färg_grön","Färg_gul","Färg_ljusgrå","Färg_ljusgrön","Färg_mörkblå","Färg_mörkgrå","Färg_mörkgrön","Färg_orange","Färg_röd","Färg_silver","Färg_svart","Färg_vit","Pris..Y.","Märkell"
112,1600,2023,325,"örebro",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609900,"hyundai_ioniq"
113,1600,2023,325,"örebro",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
114,1900,2023,325,"örebro",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,548900,"hyundai_ioniq"
115,700,2024,218,"jönköping",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595200,"hyundai_kona"
116,1000,2023,325,"jönköping",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,660700,"hyundai_ioniq"
117,2600,2019,120,"blekinge",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219900,"hyundai_ioniq"
118,2600,2021,408,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,619000,"audi_e-tron"
119,5656,2019,120,"skåne",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184500,"hyundai_ioniq"
120,10283,2020,138,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219900,"hyundai_ioniq"
121,10895,2021,408,"värmland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,439500,"audi_e-tron"
122,500,2023,325,"jönköping",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,639800,"hyundai_ioniq"
123,800,2024,218,"kalmar",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,569900,"hyundai_kona"
124,1400,2023,300,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,605000,"audi_q4"
125,2990,2023,325,"västra götaland",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,634900,"hyundai_ioniq"
126,600,2023,325,"västra götaland",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,619900,"hyundai_ioniq"
127,3730,2020,408,"värmland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,459500,"audi_e-tron"
128,600,2024,325,"kalmar",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639800,"hyundai_ioniq"
129,1000,2023,325,"kalmar",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,599900,"hyundai_ioniq"
130,1350,2023,325,"jönköping",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
131,500,2024,218,"kronoberg",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595200,"hyundai_kona"
132,1290,2023,325,"jönköping",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,609900,"hyundai_ioniq"
133,9900,2020,204,"västra götaland",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259900,"hyundai_kona"
134,800,2024,218,"västra götaland",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,549900,"hyundai_kona"
135,1500,2023,325,"västra götaland",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
136,800,2023,325,"blekinge",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,639800,"hyundai_ioniq"
137,600,2023,325,"kronoberg",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
138,850,2023,325,"blekinge",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599900,"hyundai_ioniq"
139,3000,2020,120,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229900,"hyundai_ioniq"
140,3683,2022,300,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,457900,"volkswagen_id.4"
141,4423,2021,204,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390900,"volkswagen_id.4"
142,2350,2021,204,"skåne",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,449900,"volkswagen_id.4"
143,2207,2022,300,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,494900,"volkswagen_id.4"
144,2789,2016,82,"västerbotten",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129900,"volkswagen_e-up!"
145,7700,2015,82,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89000,"volkswagen_e-up!"
146,4478,2020,83,"stockholm",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,153900,"volkswagen_e-up!"
147,9471,2020,83,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144900,"volkswagen_e-up!"
148,3438,2022,300,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449900,"volkswagen_id.4"
149,3820,2020,204,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,304900,"volkswagen_id.3"
150,2143,2022,300,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,455900,"volkswagen_id.4"
151,3253,2021,204,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,278900,"volkswagen_id.3"
152,5500,2021,204,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,351900,"volkswagen_id.3"
153,4969,2021,204,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,379900,"volkswagen_id.4"
